,reqnum,unitname,attnum,status
109,2146,D00345262,2,0
110,2146,D00345263,2,0
111,2146,D00345264,2,0
112,2146,D00345265,2,0
113,2146,D00345266,1,0
114,2146,D00345267,2,0
115,2146,D00345268,2,0
116,2146,D00345269,2,0
117,2146,D00345270,2,0
118,2146,D00345271,2,0
119,2146,D00345272,1,0
120,2146,D00345273,1,0
121,2146,D00345338,2,0
122,2146,D00345343,1,0
123,2146,D00345344,1,0
124,2146,D00345345,1,0
125,2146,D00345346,1,0
126,2146,D00345347,1,0
127,2146,D00345348,2,0
128,2146,D00345349,1,0
129,2146,D00345350,1,0
130,2146,D00345351,2,0
131,2146,D00345352,2,0
132,2146,D00345353,2,0
133,2146,D00345354,1,0
134,2146,D00345355,2,0
135,2146,D00345356,1,0
136,2146,D00345357,2,0
137,2146,D00345358,1,0
138,2146,D00345359,2,0
139,2146,D00345360,2,0
140,2146,D00345361,1,0
141,2146,D00345362,1,0
142,2146,D00345363,1,0
143,2146,D00345364,1,0
144,2146,D00345365,2,0
145,2146,D00345366,1,0
146,2146,D00345367,1,0
147,2146,D00345368,1,0
148,2146,D00345369,1,0
149,2146,D00345370,2,0
150,2146,D00345371,1,0
151,2146,D00345372,1,0
152,2146,D00345373,1,0
153,2146,D00345374,2,0
154,2146,D00345375,2,0
155,2146,D00345376,2,0
156,2146,D00345377,1,0
157,2146,D00345378,1,0
158,2146,D00345379,1,0
159,2146,D00345380,1,0
160,2146,D00345381,1,0
161,2146,D00345382,2,0
162,2146,D00345383,2,0
163,2146,D00345384,1,0
164,2146,D00345385,2,0
165,2146,D00345386,2,0
166,2146,D00345387,1,0
167,2146,D00345388,1,0
168,2146,D00345389,2,0
169,2146,D00345390,2,0
170,2146,D00345391,1,0
171,2146,D00345392,2,0
172,2146,D00345393,1,0
173,2146,D00345394,2,0
174,2146,D00345395,1,0
175,2146,D00345933,2,0
176,2146,D00345934,2,0
177,2146,D00345935,1,0
178,2146,D00345936,1,0
179,2146,D00345937,2,0
180,2146,D00345938,2,0
181,2146,D00345939,1,0
182,2146,D00345940,1,0
183,2146,D00345941,1,0
184,2146,D00345942,2,0
185,2146,D00345943,1,0
186,2146,D00345944,1,0
187,2146,D00345945,1,0
188,2146,D00345946,1,0
189,2146,D00345947,1,0
190,2146,D00345997,1,0
191,2146,D00345998,2,0
192,2146,D00345999,1,0
193,2146,D00346000,2,0
194,2146,D00346001,1,0
195,2146,D00346002,1,0
196,2146,D00346003,2,0
197,2146,D00346004,2,0
198,2146,D00346005,1,0
199,2146,D00346006,1,0
200,2146,D00346007,2,0
201,2146,D00346008,1,0
202,2146,D00346009,1,0
203,2146,D00346010,1,0
204,2146,D00346011,1,0
205,2146,D00348359,1,0
206,2146,D00348360,2,0
207,2146,D00348361,1,0
208,2146,D00348362,2,0
209,2146,D00348363,1,0
210,2146,D00348364,2,0
211,2146,D00348365,1,0
212,2146,D00348366,1,0
213,2146,D00348367,1,0
214,2146,D00348368,1,0
215,2146,D00348369,2,0
216,2146,D00348370,1,0
217,2146,D00348371,2,0
218,2146,D00348372,1,0
219,2146,D00348373,1,0
220,2146,D00348374,2,0
221,2146,D00348375,1,0
222,2146,D00348376,1,0
223,2146,D00348377,1,0
224,2146,D00348378,1,0
225,2146,D00348379,2,0
226,2146,D00348380,2,0
227,2146,D00348381,1,0
228,2146,D00348382,1,0
229,2146,D00348383,2,0
230,2146,D00348384,2,0
231,2146,D00348385,2,0
232,2146,D00348386,2,0
233,2146,D00348387,1,0
234,2146,D00348388,1,0
235,2146,D00348389,1,0
236,2146,D00348390,1,0
237,2146,D00348391,1,0
238,2146,D00348392,1,0
239,2146,D00348393,2,0
240,2146,D00348394,2,0
241,2146,D00348395,2,0
242,2146,D00348396,2,0
243,2146,D00348397,1,0
